Identifiant du message;Date et heure de la publication;Date de début;Date de fin prévisionnelle;Type d'indisponibilité;Filière de production;Type d'évènement;Nom du groupe ou de la centrale de production;Code EIC du groupe ou de la centrale de production;Société;Code EIC de la société;Capacité installée;Capacité disponible;Capacité indisponible;Cause de l'arrêt;Remarques;Statut;Unité de mesure;Code localisation
04424_2009500000000000000_001;25/02/2013 20:44;25/02/2013 20:20;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;0;1300;;-;Inactive;MW;10YFR-RTE------C
04424_20130225T0625470000_002;25/02/2013 06:25;25/02/2013 06:20;25/02/2013 15:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;280;305;Divers;-;Active;MW;10YFR-RTE------C
04424_20130225T0625470000_001;25/02/2013 06:25;25/02/2013 06:20;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 2;17W100P100P0022Z;EDF;17X100A100R00182;585;280;305;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130225T0947180000_003;25/02/2013 09:47;25/02/2013 09:45;25/02/2013 14:30;Indisponibilité fortuite;Charbon;Indisponibilité de production;MAXE 1;17W100P100P0024V;EDF;17X100A100R00182;250;140;110;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
04424_20130225T0947180000_002;25/02/2013 09:47;25/02/2013 09:45;25/02/2013 14:30;Indisponibilité fortuite;Charbon;Indisponibilité de production;MAXE 1;17W100P100P0024V;EDF;17X100A100R00182;250;140;110;Approvisionnement - Manutention du combustible;-;Inactive;MW;10YFR-RTE------C
04424_20130225T0947180000_001;25/02/2013 09:47;25/02/2013 09:45;25/02/2013 15:45;Indisponibilité fortuite;Charbon;Indisponibilité de production;MAXE 1;17W100P100P0024V;EDF;17X100A100R00182;250;140;110;Approvisionnement - Manutention du combustible;-;Inactive;MW;10YFR-RTE------C
04424_20130225T1815020000_001;25/02/2013 18:15;25/02/2013 18:12;;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 1;17W100P100P00202;EDF;17X100A100R00182;250;130;120;Divers;-;Active;MW;10YFR-RTE------C
04424_20130225T1919320000_002;25/02/2013 19:19;25/02/2013 19:18;;Indisponibilité fortuite;Charbon;Indisponibilité de production;VITRY 4;17W100P100P0027P;EDF;17X100A100R00182;250;205;45;Non encore déterminée;-;Active;MW;10YFR-RTE------C
04424_20130225T1919320000_001;25/02/2013 19:19;25/02/2013 19:18;;Indisponibilité fortuite;Charbon;Indisponibilité de production;VITRY 4;17W100P100P0027P;EDF;17X100A100R00182;250;100;150;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
7W100P100P0007V2502131819_002;25/02/2013 18:19;25/02/2013 18:19;26/02/2013 10:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;LUCY 3;17W100P100P0007V;GAZEL ENERGIE;17X100A100R0056V;245;0;245;Divers;-;Active;MW;10YFR-RTE------C
7W100P100P0007V2502131819_001;25/02/2013 18:19;25/02/2013 18:19;;Indisponibilité fortuite;Charbon;Indisponibilité de production;LUCY 3;17W100P100P0007V;GAZEL ENERGIE;17X100A100R0056V;245;0;245;Divers;-;Inactive;MW;10YFR-RTE------C
04424_1361845775515-21200_003;26/02/2013 03:30;26/02/2013 03:27;26/02/2013 04:46;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
04424_1361845775515-21200_002;26/02/2013 03:30;26/02/2013 03:27;26/02/2013 04:46;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Contrôles - Commandes;-;Inactive;MW;10YFR-RTE------C
04424_1361845775515-21200_001;26/02/2013 03:30;26/02/2013 03:27;;Indisponibilité fortuite;Hydraulique STEP;Indisponibilité de production;SUPER BISSORTE 2;17W100P100P0083F;EDF;17X100A100R00182;152;0;152;Non encore déterminée;-;Inactive;MW;10YFR-RTE------C
04424_20130226T1857330000_001;26/02/2013 18:57;26/02/2013 18:55;27/02/2013 18:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 1;17W100P100P00202;EDF;17X100A100R00182;250;135;115;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
04424_20130226T1945370000_001;26/02/2013 19:45;26/02/2013 21:30;27/02/2013 02:30;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE 4;17W100P100P0023X;EDF;17X100A100R00182;580;280;300;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
7W100P100P0009R2602130500_001;26/02/2013 10:52;26/02/2013 05:00;26/02/2013 11:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;PROVENCE 5;17W100P100P0009R;GAZEL ENERGIE;17X100A100R0056V;595;0;595;Contrôles - Commandes;-;Active;MW;10YFR-RTE------C
7W100P100P0009R2602131235_002;26/02/2013 12:41;26/02/2013 12:35;26/02/2013 19:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;PROVENCE 5;17W100P100P0009R;GAZEL ENERGIE;17X100A100R0056V;595;0;595;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Active;MW;10YFR-RTE------C
7W100P100P0009R2602131235_001;26/02/2013 12:41;26/02/2013 12:35;;Indisponibilité fortuite;Charbon;Indisponibilité de production;PROVENCE 5;17W100P100P0009R;GAZEL ENERGIE;17X100A100R0056V;595;0;595;Alternateurs - Transformateurs - Liaison électrique de puissance;-;Inactive;MW;10YFR-RTE------C
04424_20130227T1139320000_001;27/02/2013 11:39;26/02/2013 18:55;27/02/2013 11:30;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 1;17W100P100P00202;EDF;17X100A100R00182;250;230;20;Approvisionnement - Manutention du combustible;-;Active;MW;10YFR-RTE------C
04424_20130227T1433290000_002;27/02/2013 14:33;27/02/2013 14:30;27/02/2013 16:59;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;70;1230;Divers;-;Active;MW;10YFR-RTE------C
04424_20130227T1433290000_001;27/02/2013 14:33;27/02/2013 14:30;;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;70;1230;Divers;-;Inactive;MW;10YFR-RTE------C
04424_20130227T1503090000_001;27/02/2013 15:03;27/02/2013 15:00;27/02/2013 17:00;Indisponibilité fortuite;Charbon;Indisponibilité de production;HAVRE (LE) 1;17W100P100P00202;EDF;17X100A100R00182;250;130;120;Divers;-;Active;MW;10YFR-RTE------C
04424_20130227T1808100000_003;27/02/2013 18:08;27/02/2013 18:11;27/02/2013 22:00;Indisponibilité fortuite;Nucléaire;Indisponibilité de production;CATTENOM 2;17W100P100P0103Z;EDF;17X100A100R00182;1300;750;550;Divers;-;Active;MW;10YFR-RTE------C
